Loss,Margin,Room,Epoch,It,Validation accuracy,Geometric error
semi hard,1,1PO-A,3,500,55.81395348837209,0.08123610039287633
semi hard,1,1PO-A,3,600,55.81395348837209,0.07623798694270384
semi hard,1,2PO1-A,0,100,43.47826086956522,0.11118835953078321
semi hard,1,2PO1-A,0,200,47.82608695652174,0.08681869915551119
semi hard,1,2PO1-A,0,400,54.34782608695652,0.08109622728292783
semi hard,1,2PO1-A,2,500,52.17391304347826,0.07909634151990912
semi hard,1,2PO1-A,3,100,50.0,0.07511897431723494
semi hard,1,2PO2-A,0,100,52.5,0.09350967495566113
semi hard,1,2PO2-A,0,600,50.0,0.08790675720728688
semi hard,1,2PO2-A,2,500,57.5,0.0860383567267425
semi hard,1,CR-A,0,600,45.9915611814346,0.16909043929631523
semi hard,1,CR-A,1,100,45.14767932489451,0.15953713463018643
semi hard,1,CR-A,1,200,46.835443037974684,0.11023136518985248
semi hard,1,CR-A,1,300,48.10126582278481,0.1075047690897452
semi hard,1,CR-A,2,0,52.32067510548523,0.10170891953790494
semi hard,1,CR-A,4,400,55.27426160337553,0.10150639053387311
semi hard,1,KT-A,0,100,60.0,0.08380649795566926
semi hard,1,KT-A,0,200,55.55555555555556,0.07806394096090814
semi hard,1,KT-A,2,400,53.333333333333336,0.07338044658840574
semi hard,1,KT-A,2,600,60.0,0.07313147343644086
semi hard,1,LO-A,0,100,56.41025641025641,0.10679577932687635
semi hard,1,LO-A,0,200,58.97435897435897,0.08177516436759893
semi hard,1,LO-A,0,600,56.41025641025641,0.08159889522874864
semi hard,1,LO-A,1,200,64.1025641025641,0.07889167477956158
semi hard,1,LO-A,2,300,64.1025641025641,0.07873904985126945
semi hard,1,PA-A,0,100,55.357142857142854,0.09537009953996416
semi hard,1,PA-A,0,200,51.785714285714285,0.08469806715615227
semi hard,1,ST-A,0,100,75.0,0.07467090647521
semi hard,1,TL-A,0,100,62.5,0.10498637398204831
semi hard,1,TL-A,0,300,52.5,0.10449126835754938
semi hard,1,TL-A,2,0,50.0,0.09886608538298104
semi hard,1,1PO-A,0,100,34.883720930232556,0.11288433095443749
semi hard,1,1PO-A,0,300,44.18604651162791,0.1053552742563093
semi hard,1,1PO-A,0,500,55.81395348837209,0.09502371145700926
semi hard,1,1PO-A,0,600,58.13953488372093,0.07715461071289673
semi hard,1,2PO1-A,0,100,50.0,0.08979138143627624
semi hard,1,2PO1-A,0,400,50.0,0.08573564513460875
semi hard,1,2PO1-A,1,500,45.65217391304348,0.08249084154274276
semi hard,1,2PO1-A,3,300,41.30434782608695,0.0823789836590009
semi hard,1,2PO1-A,3,500,41.30434782608695,0.08172095141955629
semi hard,1,2PO2-A,0,100,37.5,0.10413722656294286
semi hard,1,2PO2-A,1,300,40.0,0.10002701681701745
semi hard,1,2PO2-A,3,600,32.5,0.09943811822447503
semi hard,1,2PO2-A,4,0,32.5,0.09943811822447503
semi hard,1,CR-A,1,0,45.56962025316456,0.16429765928667256
semi hard,1,CR-A,1,200,49.78902953586498,0.14478249524526893
semi hard,1,CR-A,1,400,48.9451476793249,0.13552507024640886
semi hard,1,CR-A,1,500,54.43037974683544,0.1229276694345843
semi hard,1,CR-A,1,600,54.43037974683544,0.10440533150492672
semi hard,1,CR-A,2,0,56.540084388185655,0.10383708505446862
semi hard,1,CR-A,3,200,53.164556962025316,0.09955252259161372
semi hard,1,KT-A,0,100,22.22222222222222,0.126948066035643
semi hard,1,KT-A,0,200,42.22222222222222,0.08597550696045825
semi hard,1,KT-A,0,300,57.77777777777778,0.08358709133528826
semi hard,1,KT-A,0,400,62.22222222222222,0.07351896989433995
semi hard,1,LO-A,0,100,61.53846153846154,0.08649915441863484
semi hard,1,LO-A,2,300,61.53846153846154,0.08328557049751265
semi hard,1,PA-A,0,100,50.0,0.09176856471912698
semi hard,1,ST-A,0,100,62.5,0.10260875856247756
semi hard,1,ST-A,0,200,52.5,0.09396363067478897
semi hard,1,ST-A,0,400,65.0,0.09344341984985989
semi hard,1,ST-A,0,500,65.0,0.09108878577190184
semi hard,1,ST-A,1,500,62.5,0.08847243900447206
semi hard,1,ST-A,2,200,60.0,0.08608872232010129
semi hard,1,ST-A,2,500,65.0,0.08151839952923147
semi hard,1,TL-A,0,100,72.5,0.08214104329884954
semi hard,1,1PO-A,0,100,32.55813953488372,0.09263602762987168
semi hard,1,1PO-A,2,200,37.2093023255814,0.08941968916894227
semi hard,1,1PO-A,2,300,41.86046511627907,0.08840084024336424
semi hard,1,2PO1-A,0,100,63.04347826086956,0.08638001385110178
semi hard,1,2PO2-A,0,100,40.0,0.11783013426075326
semi hard,1,2PO2-A,0,300,45.0,0.11136735048463546
semi hard,1,2PO2-A,0,400,45.0,0.11136735048463546
semi hard,1,2PO2-A,0,500,45.0,0.11136735048463546
semi hard,1,2PO2-A,0,600,45.0,0.11136735048463546
semi hard,1,2PO2-A,1,0,45.0,0.11136735048463546
semi hard,1,2PO2-A,1,100,45.0,0.11136735048463546
semi hard,1,2PO2-A,1,200,40.0,0.1084533207743316
semi hard,1,CR-A,1,100,54.43037974683544,0.15402270746556998
semi hard,1,CR-A,1,200,49.36708860759494,0.11132973471241768
semi hard,1,CR-A,2,100,49.78902953586498,0.1099301738039226
semi hard,1,CR-A,2,200,52.32067510548523,0.10932941842233633
semi hard,1,KT-A,0,0,26.666666666666668,0.15155961084933414
semi hard,1,KT-A,0,100,51.111111111111114,0.07977514365639922
semi hard,1,KT-A,3,300,51.111111111111114,0.07470632357592161
semi hard,1,KT-A,3,400,51.111111111111114,0.07470632357592161
semi hard,1,KT-A,3,500,51.111111111111114,0.07470632357592161
semi hard,1,KT-A,4,0,55.55555555555556,0.07385667859051383
semi hard,1,LO-A,0,100,56.41025641025641,0.08699640740664871
semi hard,1,LO-A,2,100,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,2,200,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,2,300,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,2,400,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,2,500,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,2,600,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,0,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,100,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,200,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,300,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,400,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,500,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,3,600,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,0,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,100,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,200,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,300,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,400,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,500,51.282051282051285,0.08348551059189735
semi hard,1,LO-A,4,600,51.282051282051285,0.08348551059189735
semi hard,1,PA-A,0,100,57.142857142857146,0.0944604522324811
semi hard,1,PA-A,0,200,55.357142857142854,0.07744155207318766
semi hard,1,ST-A,0,100,40.0,0.116606743037065
semi hard,1,ST-A,0,200,47.5,0.11160094321182064
semi hard,1,ST-A,1,500,55.0,0.10986274995373244
semi hard,1,ST-A,1,600,55.0,0.10422278773147917
semi hard,1,ST-A,2,0,55.0,0.10422278773147917
semi hard,1,ST-A,2,100,55.0,0.10422278773147917
semi hard,1,ST-A,2,200,55.0,0.10422278773147917
semi hard,1,ST-A,2,300,55.0,0.10422278773147917
semi hard,1,ST-A,2,400,55.0,0.10422278773147917
semi hard,1,ST-A,2,500,55.0,0.10422278773147917
semi hard,1,ST-A,2,600,55.0,0.10422278773147917
semi hard,1,ST-A,3,0,55.0,0.10422278773147917
semi hard,1,ST-A,3,100,55.0,0.10422278773147917
semi hard,1,ST-A,3,200,55.0,0.10422278773147917
semi hard,1,ST-A,3,300,55.0,0.10422278773147917
semi hard,1,ST-A,3,400,55.0,0.10422278773147917
semi hard,1,ST-A,3,500,55.0,0.10422278773147917
semi hard,1,ST-A,3,600,55.0,0.10422278773147917
semi hard,1,ST-A,4,0,55.0,0.10422278773147917
semi hard,1,ST-A,4,100,55.0,0.10422278773147917
semi hard,1,ST-A,4,200,55.0,0.10422278773147917
semi hard,1,ST-A,4,300,55.0,0.10422278773147917
semi hard,1,ST-A,4,400,55.0,0.10422278773147917
semi hard,1,ST-A,4,500,55.0,0.10422278773147917
semi hard,1,ST-A,4,600,55.0,0.10422278773147917
semi hard,1,TL-A,0,200,37.5,0.16204793603460282
semi hard,1,TL-A,0,600,40.0,0.14970148261086064
semi hard,1,TL-A,2,100,35.0,0.14375279776196487
semi hard,1,TL-A,2,200,45.0,0.14058076818528867
semi hard,1,TL-A,3,100,30.0,0.14017676493158407
semi hard,1,TL-A,3,200,30.0,0.14017676493158407
